Date,Time,Away,Home
2016-10-12,10:00 PM,Calgary Flames,Edmonton Oilers
2016-10-12,8:00 PM,St. Louis Blues,Chicago Blackhawks
2016-10-12,10:30 PM,Los Angeles Kings,San Jose Sharks
2016-10-12,7:00 PM,Toronto Maple Leafs,Ottawa Senators
2016-10-13,8:30 PM,Anaheim Ducks,Dallas Stars
2016-10-13,7:00 PM,Boston Bruins,Columbus Blue Jackets
2016-10-13,7:00 PM,Montreal Canadiens,Buffalo Sabres
2016-10-13,8:00 PM,Carolina Hurricanes,Winnipeg Jets
2016-10-13,7:30 PM,Detroit Red Wings,Tampa Bay Lightning
2016-10-13,7:30 PM,New Jersey Devils,Florida Panthers
2016-10-13,8:00 PM,Minnesota Wild,St. Louis Blues
2016-10-13,7:00 PM,New York Islanders,New York Rangers
2016-10-13,7:00 PM,Washington Capitals,Pittsburgh Penguins
2016-10-14,9:00 PM,Edmonton Oilers,Calgary Flames
2016-10-14,8:00 PM,Chicago Blackhawks,Nashville Predators
2016-10-14,10:30 PM,Philadelphia Flyers,Los Angeles Kings
2016-10-15,7:00 PM,Anaheim Ducks,Pittsburgh Penguins
2016-10-15,9:00 PM,Philadelphia Flyers,Arizona Coyotes
2016-10-15,7:00 PM,Boston Bruins,Toronto Maple Leafs
2016-10-15,7:00 PM,San Jose Sharks,Columbus Blue Jackets
2016-10-15,10:00 PM,Calgary Flames,Vancouver Canucks
2016-10-15,8:30 PM,Nashville Predators,Chicago Blackhawks
2016-10-15,9:00 PM,Dallas Stars,Colorado Avalanche
2016-10-15,7:00 PM,Detroit Red Wings,Florida Panthers
2016-10-15,7:00 PM,Winnipeg Jets,Minnesota Wild
2016-10-15,7:00 PM,Montreal Canadiens,Ottawa Senators
2016-10-15,7:00 PM,New Jersey Devils,Tampa Bay Lightning
2016-10-15,7:00 PM,New York Islanders,Washington Capitals
2016-10-15,8:00 PM,New York Rangers,St. Louis Blues
2016-10-16,6:00 PM,Anaheim Ducks,New York Islanders
2016-10-16,7:00 PM,Buffalo Sabres,Edmonton Oilers
2016-10-16,10:00 PM,Carolina Hurricanes,Vancouver Canucks
2016-10-17,8:00 PM,Boston Bruins,Winnipeg Jets
2016-10-17,7:00 PM,Colorado Avalanche,Pittsburgh Penguins
2016-10-17,7:30 PM,Ottawa Senators,Detroit Red Wings
2016-10-17,7:00 PM,San Jose Sharks,New York Rangers
2016-10-18,7:00 PM,Anaheim Ducks,New Jersey Devils
2016-10-18,7:30 PM,Arizona Coyotes,Ottawa Senators
2016-10-18,9:00 PM,Buffalo Sabres,Calgary Flames
2016-10-18,9:00 PM,Carolina Hurricanes,Edmonton Oilers
2016-10-18,8:30 PM,Philadelphia Flyers,Chicago Blackhawks
2016-10-18,7:00 PM,Colorado Avalanche,Washington Capitals
2016-10-18,8:00 PM,Dallas Stars,Nashville Predators
2016-10-18,7:30 PM,Florida Panthers,Tampa Bay Lightning
2016-10-18,8:00 PM,Los Angeles Kings,Minnesota Wild
2016-10-18,7:30 PM,Pittsburgh Penguins,Montreal Canadiens
2016-10-18,7:00 PM,San Jose Sharks,New York Islanders
2016-10-18,10:00 PM,St. Louis Blues,Vancouver Canucks
2016-10-19,8:00 PM,Detroit Red Wings,New York Rangers
2016-10-19,8:00 PM,Toronto Maple Leafs,Winnipeg Jets
2016-10-20,7:00 PM,Anaheim Ducks,Philadelphia Flyers
2016-10-20,7:30 PM,Arizona Coyotes,Montreal Canadiens
2016-10-20,7:00 PM,New Jersey Devils,Boston Bruins
2016-10-20,10:00 PM,Buffalo Sabres,Vancouver Canucks
2016-10-20,9:00 PM,Carolina Hurricanes,Calgary Flames
2016-10-20,7:30 PM,Colorado Avalanche,Tampa Bay Lightning
2016-10-20,8:30 PM,Los Angeles Kings,Dallas Stars
2016-10-20,9:00 PM,St. Louis Blues,Edmonton Oilers
2016-10-20,7:30 PM,Washington Capitals,Florida Panthers
2016-10-20,8:00 PM,Toronto Maple Leafs,Minnesota Wild
2016-10-20,7:00 PM,San Jose Sharks,Pittsburgh Penguins
2016-10-21,7:00 PM,Arizona Coyotes,New York Islanders
2016-10-21,7:00 PM,Chicago Blackhawks,Columbus Blue Jackets
2016-10-21,7:30 PM,Nashville Predators,Detroit Red Wings
2016-10-22,7:00 PM,Montreal Canadiens,Boston Bruins
2016-10-22,7:00 PM,Carolina Hurricanes,Philadelphia Flyers
2016-10-22,8:00 PM,Columbus Blue Jackets,Dallas Stars
2016-10-22,10:00 PM,St. Louis Blues,Calgary Flames
2016-10-22,7:00 PM,Toronto Maple Leafs,Chicago Blackhawks
2016-10-22,7:00 PM,Colorado Avalanche,Florida Panthers
2016-10-22,7:00 PM,San Jose Sharks,Detroit Red Wings
2016-10-22,10:00 PM,Vancouver Canucks,Los Angeles Kings
2016-10-22,7:00 PM,Minnesota Wild,New Jersey Devils
2016-10-22,8:00 PM,Pittsburgh Penguins,Nashville Predators
2016-10-22,7:00 PM,New York Rangers,Washington Capitals
2016-10-22,7:00 PM,Tampa Bay Lightning,Ottawa Senators
2016-10-23,8:00 PM,Vancouver Canucks,Anaheim Ducks
2016-10-23,7:00 PM,Arizona Coyotes,New York Rangers
2016-10-23,3:00 PM,Edmonton Oilers,Winnipeg Jets
2016-10-23,6:00 PM,Minnesota Wild,New York Islanders
2016-10-24,8:30 PM,Calgary Flames,Chicago Blackhawks
2016-10-24,7:30 PM,Philadelphia Flyers,Montreal Canadiens
2016-10-25,10:30 PM,Anaheim Ducks,San Jose Sharks
2016-10-25,7:00 PM,Arizona Coyotes,New Jersey Devils
2016-10-25,7:00 PM,Minnesota Wild,Boston Bruins
2016-10-25,7:00 PM,Buffalo Sabres,Philadelphia Flyers
2016-10-25,7:30 PM,Carolina Hurricanes,Detroit Red Wings
2016-10-25,10:30 PM,Columbus Blue Jackets,Los Angeles Kings
2016-10-25,8:00 PM,Calgary Flames,St. Louis Blues
2016-10-25,8:30 PM,Winnipeg Jets,Dallas Stars
2016-10-25,7:00 PM,Florida Panthers,Pittsburgh Penguins
2016-10-25,10:00 PM,Ottawa Senators,Vancouver Canucks
2016-10-25,7:30 PM,Tampa Bay Lightning,Toronto Maple Leafs
2016-10-26,10:30 PM,Nashville Predators,Anaheim Ducks
2016-10-26,8:00 PM,Boston Bruins,New York Rangers
2016-10-26,9:30 PM,Washington Capitals,Edmonton Oilers
